category_name,category_id
General,0
RCH COMERCIAL,8
RCH OPERATIVA,10
RCH CARTERA,12
PNNC COMERCIAL,26
PNNC OPERATIVA,28
1116 COMERCIAL,30
1116 OPERATIVA,32
LANDING ADMINISTRATIVAS,48
RCH FACEBOOK,60
FACEBOOK PNNC,62
PNNC CARTERA,68
CUENTAS DE COBRO,72
SOLICITUDES MARKETING,83
CARTERA BREATHWORK LIDERA 2026,87
ZONA DE REGISTROS X,95
PQRFS,97
RC ANTIGUA,103
PNNC LIBRANZA,107
PNNC EMBARGOS,109
PNNC FLM,115
1116 CARTERA,123
INFORMACION RRHH,126
RCH Comercial PRUEBAS 1,130
ASESORES DIEGO,138
SELECCION,142
CAMPUS VIRTUAL,144
REFERIDOS,146
LP CARTERA,154
APOYO COMERCIAL RCH Y PNNC,160
MOVIMIENTO SIEMBRA,164
LP OPERATIVA,166
SOLICITUDES COMERCIALES,168
SOPORTE TÉCNICO,178
LIDERA TALK,192
RAM,200
PNNC ABOGADOS EXTERNOS,202
CARTERA AVZ 2026,206
TECNOLOGIA,214
PRUEBA TECNOLOGIA,216
Informes BI Builder,224
LP OPERATIVA 2445,248
PROYECTOS,250
MOVIMIENTO SIEMBRA 2025,252
BIENESTAR CLIENTES,254
SEGUROS COMERCIAL,256
Subir Base de Datos,258
CARTERA LP 2445,260
LIDERA BREATHWORK 2026,262
SOLICITUDES DE COMPRA,264
PERSONAL COMPAÑIA,274
PSICOLOGÍA LIDERA,276
SEGUROS OPERATIVA,278
LIDERA COMERCIAL 2026,288
PNNC CARTERA PRUEBA,290
RCH CARTERA PRUEBA,292
GESTIÓN DE REQUERIMIENTOS,294
1116 CARTERA PRUEBA,296
LP CARTERA PRUEBA,298
LP 2445 CARTERA PRUEBA,300
COBRO JURIDICO RCH,302
COBRO JURIDICO PNNC,308
RECLUTAMIENTO,310
COMPRAS GPC 2026,312
CONTRATOS LIDERA,326
CARTERA LIDERA COMERCIAL 2026,330
CARTERA MIGRACION,332
ENCUESTAS S.C.,336
AVANZAR 2026,338
COMUNIDAD AVZ LIDERA,340
AVZ Chat,352
PNNC OPERATIVA EXTERNO,358
AVANZAR PNNC,360
AVANZAR RCH,362
PRUEBAS BOT,364
